Timestamp,Age Range,Which best describes you?,"Where do you spend most of your time in Golden? (e.g., where you live or work)",How long have you lived in or regularly spent time in Golden? ,"When you want to learn something new, be creative, or spend time around other people, where do you usually go now?  Select all that apply: ",What do you feel is most missing in Golden right now?  , Do you feel connected to people in Golden outside of your immediate family/friend group or workplace?  ,"If you'd like to share, what makes it hard to feel connected?","If Golden had a shared community space, which of the following would you be interested in?",Which 2-3 of these personally matter to you the most?,How often do you think you might realistically use a space like this?  ,"What would make the space feel welcoming to you? (e.g.,  pricing, age mix, location, programming style, atmosphere, etc.) ","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Taking classes or workshops]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Attending community events or clubs]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Using open space / creative / maker space]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Using a community kitchen or cafe]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Bringing kids or teens to activities]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Attending talks or skill-sharing sessions]",Would you be interested in any of the following ways of being involved?  , What would make it easier for you to participate?  ,"What skills, interests, or knowledge could you imagine sharing with others? (e.g., woodworking, welding, cooking, sewing, art, home repair, gardening, tutoring, languages, technology, gaming, outdoor skills, 3D Printing, etc.) ","If you could design a community space in Golden, what would it look like or include?  You can describe it in words, share links, upload a sketch, or share a photo that represents the vibe (upload below).",Upload here!
2/5/2026 19:12:25,24-34,Working Full-Time,North Golden (North of 58),10+ years,"Gym / fitness studio, Parks / trails / outdoors, Private classes or studios, Religious place ","Creative or maker spaces, Places for teens to hang out, Ways to meet new people","Yes, very",Time and energy ,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Sewing, Mending, or Fiber Arts, Talks or community discussions, Outdoor skills or environmental workshops","The kitchen cooking one, I think it’s easier to get people together when there’s food around ",A few times a month,,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,"Paying for individual classes or workshops, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Teen-only spaces or programs, Being able to drop in without committment, Close to transit or bike routes",Outdoor skills climbing specifically ,I would imagine it having a big kitchen inside and then a covered outdoor patio space so run it workout clubs could meet there and stretch after work outs ,
2/5/2026 19:21:33,24-34,Working Full-Time,I live outside Golden but spend time here,10+ years,"Gym / fitness studio, Coffee shops / breweries, Library, Parks / trails / outdoors, Community Garden","Creative or maker spaces, Community gathering spaces that aren't bars",Not really,This mostly older people and tourists ,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Clubs (book, film, language, etc.), Woodworking / Metalworking, Painting / Drawing / Printmaking",creative space or learning space,A few times a month,she mix and programming,Very Likely,Somewhat Likely,Very Likely,Somewhat Likely,Very Likely,Not Likely,"Becoming a low-cost monthly member, Teaching or helping lead activities","Evening and weekend hours, Being able to drop in without committment","gardening, technology",,
2/5/2026 20:21:56,50-64,Retired,"West of 6th (Beverly Heights, Golden Ridge, Lookout)",4-10 years,Parks / trails / outdoors,Community gathering spaces that aren't bars,"Yes, very",,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Sewing, Mending, or Fiber Arts, Talks or community discussions, Outdoor skills or environmental workshops",,A few times a year,Location and ease of parking ,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Not Likely,"Volunteering ocassionally, Teaching or helping lead activities",Parking ,,,
2/5/2026 21:30:19,24-34,Working Full-Time,I live outside Golden but spend time here,1-3 years,"Gym / fitness studio, Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios",Affordable activities and classes,Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Study or work space, Ceramics, Talks or community discussions, Outdoor skills or environmental workshops",,A few times a month,,Very Likely,Very Likely,Not Likely,Very Likely,Very Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Close to transit or bike routes",,,
2/6/2026 10:49:41,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",1-3 years,"Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios, Home, Outside of Golden","Creative or maker spaces, Community gathering spaces that aren't bars, Ways to meet new people",Somewhat,,"Small business development /entrepeneurship, Clubs (book, film, language, etc.), Study or work space, 3D Printing / Design, Ceramics","Ceramics, Study/Work Space, 3D Printing",A few times a month,"Pricing, Atmosphere, Tools available for use and education",Very Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment",Technology,"A space with flexible areas where you could choose a seat with a more quiet atmosphere, or a more lively area depending on the type of work I am trying to do. Welcoming space that is helpful but not pushy on people. Maker Space is a great option. Having a a space where multiple people are doing creative work together in one space was a past business dream of mine (Coffee Shop + Art Studio + Engineering/Maker Space Type activities all going on in one building. Each inspiring others collectively). Good natural light, electrical outlets a plenty, smaller conference rooms for people to meet/collaborate/share projects.",
2/6/2026 11:42:05,65+,Retired but active in Golden community.,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,"Golden Community Center, City Council meetings, Leadership Golden, Jeffco District Attorney monthly TRIAD meetings, Barb Warden's online updates, Golden, Transcript,n","Maybe more available information on how Golden residents can feel and get involved in volunteering, know more about what and where information meetings, events are happening.  ","Yes, very",I find many opportunities to connect with other Golden residents.,"Clubs (book, film, language, etc.), Talks or community discussions","Talks or community discussions, more opportunities and encouragement for residents to attend sessions like the monthly TRIAD meetings at the District Attorney's building.  I feel that the more residents know and understand why city, county, state decisions are made, they less they complain or vote negatively.",A few times a month,"information and maybe, transportation",Very Likely,Very Likely,Not Likely,Not Likely,Not Likely,Very Likely,Volunteering ocassionally,"Evening and weekend hours, Being able to drop in without committment, Close to transit or bike routes",I'm more interested in volunteer opportunities in Golden nonprofits and community events,"Opportunities for residents of varied ages to meet and work with.  As a Senior, I learn a lot from the questions and ideas of younger generations. We cannot meet the wishes of everyone but we can learn from their ideas and concerns and be more inclusive of all generations and Golden institutions, ie: the K - college students.  (I know the Education session in time-limited.  It would be important that LG opens the opportunity for high school students to participate.  However, they have busy calendars also.  Maybe a once a year where high school students speak and answer questions at LG, city council, community center, or other better places.  I'm just wondering...",
2/6/2026 20:41:59,35-49,Working Full-Time,I live outside Golden but spend time here,4-10 years,"Coffee shops / breweries, Library, Parks / trails / outdoors, Private classes or studios, Home, I don't really have a place to go for this","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people",Not really,,"Small business development /entrepeneurship, Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Study or work space, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops",,Weekly,,Very Likely,Very Likely,Very Likely,Very Likely,Not Likely,Very Likely,"Becoming a low-cost monthly member, Teaching or helping lead activities","Low-Cost or sliding scale plan, Evening and weekend hours",,,
2/7/2026 16:17:44,35-49,Parent and business owner,North Golden (North of 58),10+ years,Connects for co-working!,"Creative or maker spaces, Places for teens to hang out, summer camps or local extra curriular programming my kids can actually participate in",Not really,My kids both attend local schools but find some social situations challenging so we don't really hang out with others as we have found most families around my kids ages to not be so understanding or empathetic for my kids,"Small business development /entrepeneurship, Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Woodworking / Metalworking, Electronics / Robots, 3D Printing / Design, Ceramics, Painting / Drawing / Printmaking, Outdoor skills or environmental workshops",I'd love to have my pre-teens boys be a part of a community hang out maker space,A few times a month,actual empathetic connection and activities accessible for my neurodivergent pre-teens (our family is currently not able to participate in any activities with the GCC),Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events","Child-friendly programming, Teen-only spaces or programs, sensory friendly and reasonable teacher to kid ratio- we're willing to pay for something local where my kids feel accepted and it's not overly crowded at times they're available",I'd be happy to chat more- my business is AutismNERD.com and email is autismnerd@gmail.com,,
2/7/2026 21:53:02,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",1-3 years,"Library, I don't really have a place to go for this","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills","Yes, very",,"Cooking classes or shared kitchen events, Clubs (book, film, language, etc.), Study or work space, Woodworking / Metalworking, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Ceramics, Talks or community discussions",Talks & maker space ,A few times a month,"Accessible family memberships, offers for many age groups, including children, mix of cozy and calming spaces. Lots of plants ",Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Evening and weekend hours, Child-friendly programming, Being able to drop in without committment, Close to transit or bike routes","Resume review, small business mentoring, storytelling…",,
2/8/2026 8:11:05,35-49,Parent / Caregiver,"Downtown / Central Golden (South of 58, North of 24th Street)",1-3 years,"Golden Community Center, Coffee shops / breweries, Library, Parks / trails / outdoors, Outside of Golden","Creative or maker spaces, Places for teens to hang out, Affordable activities and classes, Community gathering spaces that aren't bars, Ways to meet new people",Not really,,"Clubs (book, film, language, etc.), Study or work space, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops",,A few times a month,,Very Likely,Very Likely,Somewhat Likely,Not Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Being able to drop in without committment, Close to transit or bike routes",,,
2/8/2026 20:15:26,24-34,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",4-10 years,"Coffee shops / breweries, I don't really have a place to go for this, friend's house",Community gathering spaces that aren't bars,"Yes, very",,"Cooking classes or shared kitchen events, Teen-only hangout space, Clubs (book, film, language, etc.), Study or work space, 3D Printing / Design, Talks or community discussions, playing music",,A few times a month,a place that's cozy and geared towards locals,Not Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally","Being able to drop in without committment, Close to transit or bike routes",piano lessons,,https://drive.google.com/open?id=1zjh0m5SvLnALSp7-L3kjjprDTgS1AHLp
2/9/2026 17:16:08,35-49,Working Full-Time,North Golden (North of 58),10+ years,"Gym / fitness studio, Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios, Home","Creative or maker spaces, Places for teens to hang out, Ways to meet new people",Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Study or work space, Sewing, Mending, or Fiber Arts, Ceramics",Teen only space. Shared kitchen. Ceramics ,A few times a month,"Pricing, age mix",Very Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Teen-only spaces or programs","My mom would share sewing, crafting, crochet, knitting.  My son would love to have D&D campaigns.  I could help with event planning and food safety. ",,
2/9/2026 19:21:08,65+,Retired,North Golden (North of 58),1-3 years,"Coffee shops / breweries, Parks / trails / outdoors",Ways to meet new people,"Yes, very",,"Cooking classes or shared kitchen events, Woodworking / Metalworking, Talks or community discussions",,A few times a month,All above ,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Volunteering ocassionally,Being able to drop in without committment,"Woodworking, cooking",,
2/9/2026 22:41:19,35-49,Working Full-Time,"South Golden (South of 24th Street, including West Pleasant View)",4-10 years,"Gym / fitness studio, Coffee shops / breweries","Affordable activities and classes, Community gathering spaces that aren't bars",Somewhat,Don't drink often. Have kids with me a lot ,"Cooking classes or shared kitchen events, Woodworking / Metalworking, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions",,A few times a month,Mix of different people including people I relate too. People who work a lot and need times around work schedule ,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming",,"Include a cafe and coffee shop where you can also buy food. If there are evening talks or events, offer childcare where I can pack a dinner or buy dinner. ",
2/10/2026 10:15:47,50-64,Working Full-Time,I live outside Golden but spend time here,1-3 years,"Gym / fitness studio, Coffee shops / breweries, Outside of Golden, Pickleball club in Littleton (but its too far!)","Creative or maker spaces, Community gathering spaces that aren't bars, Ways to meet new people","No, I feel pretty disconnected","It's hard to say. This might be a Colorado thing, but I find that the culture here in the Front Range is less open than where I came from (Austin TX). My theory is that Austin didn't have the big beautiful landscape to recreate in, so community events have been the central focus, and people tend to prioritize socialization over being out in nature. People are very friendly here, but I've tried to throw gatherings and everyone's always skiing or camping or ""out"".  I thought about starting a supper club, but living on Lookout Mtn is not a great location for that (Denver, better). I'd consider moving to town but its crazy expensive for what you get. So, I'm still trying to figure it out. I've joined groups, play a lot of pickleball and belong to a club, but so far none of those have yielded friends - just things to do. It's generally hard to move to a new place!","Clubs (book, film, language, etc.), Study or work space, Ceramics, Talks or community discussions, on the Talks above - I love salons! culture, arts, music. I'm a former film professor and I would totally start a film club if there was a space to show films, too.",,A few times a month,all of the above,Not Likely,Very Likely,Somewhat Likely,Not Likely,Not Likely,Very Likely,Teaching or helping lead activities,"Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment","photography, filmmaking, women's health","This is a little unfair but I absolutely love the central library in Austin - the community spaces and rooms are epic. Open, light-filled, cafes available, inspiring architecture, easy to book. ",
2/10/2026 20:51:30,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,"Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios","Creative or maker spaces, Community gathering spaces that aren't bars, Opportunities to learn practical skills",Somewhat,,"Teen-only hangout space, Study or work space, Woodworking / Metalworking, 3D Printing / Design, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","Outdoor skills, study or work space, teen space",A few times a month,"Pricing, easy to sign up, last minute availability",Very Likely,Very Likely,Very Likely,Not Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Volunteering ocassionally","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Being able to drop in without committment",,,
2/11/2026 8:20:10,50-64,Working Full-Time,North Golden (North of 58),10+ years,"Coffee shops / breweries, Library, Private classes or studios, Internet classes","Creative or maker spaces, Opportunities to learn practical skills, opportunities to hone craftsmanship beyond pottery/ceramics and watercolor","Yes, very",,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Woodworking / Metalworking, Electronics / Robots, 3D Printing / Design, Sewing, Mending, or Fiber Arts","Household repair, woodworking, sewing, 3D printing (as a 4th)",A few times a month,"pricing, cleanliness/care of shared materials, natural light, easy access (including parking), taught or guided classes/lessons, a mentor",Very Likely,Very Likely,Very Likely,Somewhat Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Being able to drop in without committment, Parking because this space should be available to our senior citizens as well","writing, basic French, middle school to high school book club",,
2/11/2026 12:20:24,50-64,Working Full-Time,I live outside Golden but spend time here,4-10 years,"Library, Parks / trails / outdoors, Private classes or studios, Home","Creative or maker spaces, Places for teens to hang out",Not really,I haven't found a lot of opportunities to meet and interact with people in Golden outside of businesses,"Cooking classes or shared kitchen events, Teen-only hangout space, Electronics / Robots, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Painting / Drawing / Printmaking, youth workshops","Hand crafts - sewing, vinyl cutter, youth workshops",A few times a month,"Atmosphere, mix of hand crafts and more traditional makerspace equipment, staff",Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events, Donating tools, supplies, or equipment",Being able to drop in without committment,"sewing, cooking, vector design for laser cutting or vinyl cutters, paper crafts",A bright open workshop space that was used by kids and older adults during the day and entrepreneurs in the evening hours. Well staffed and supplied. ,
2/11/2026 12:23:23,24-34,Working Full-Time,North Golden (North of 58),4-10 years,"Gym / fitness studio, Golden Community Center, Coffee shops / breweries, Library, Parks / trails / outdoors, Home","Creative or maker spaces, Community gathering spaces that aren't bars, Ways to meet new people",Somewhat,"Age disconnect, free events not centered around alcohol or music","Clubs (book, film, language, etc.), Woodworking / Metalworking, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Outdoor skills or environmental workshops","Ceramics/pottery, Design space, woodworking",A few times a month,"Low priced, relaxed and welcoming atmosphere ",Somewhat Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Not Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment","3D printing, CAD modeling, Excel","Vibrant decorations, tall ceilings, modern design (glass, open layout), reception/help desk, maker space",
2/11/2026 12:46:18,24-34,Working Full-Time,"South Golden (South of 24th Street, including West Pleasant View)",1-3 years,"Gym / fitness studio, Library, Parks / trails / outdoors, Private classes or studios","Community gathering spaces that aren't bars, Opportunities to learn practical skills","Yes, very",,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Study or work space, Sewing, Mending, or Fiber Arts, Ceramics","repair, mending, anything sustainability skill-building related!",A few times a month,"I would be very drawn to someplace where I could spend time with other 20s - ish folks (early career, no kids), this has been something I've struggled to find in Golden. ",Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Evening and weekend hours, Being able to drop in without committment, Close to transit or bike routes",Sewing/fiber arts at a beginner level,"Open space to foster collaboration, hours that work well with a 9-5, draws a mix of ages, a culture of caring for the space that keeps it usable and growing. ",
2/11/2026 12:53:33,50-64,Retired,"West of 6th (Beverly Heights, Golden Ridge, Lookout)",10+ years,"Gym / fitness studio, Coffee shops / breweries, Parks / trails / outdoors, Home, Outside of Golden",Welcoming places to create for adults ,Somewhat,,"3D Printing / Design, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions",Crafts,Not sure,,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally",Being able to drop in without committment,,The Golden Library already offers many of the items mentioned in this survey. I suggest you partner with the library to expand on what is already available ,
2/11/2026 13:27:17,65+,Working Part-Time,"South Golden (South of 24th Street, including West Pleasant View)",10+ years,Foothills Art Center,"Affordable activities and classes, Community gathering spaces that aren't bars",Somewhat,"Downtown Golden is very crowded and makes me not want to take the effort to go there, especially on weekends. ","Small business development /entrepeneurship, Cooking classes or shared kitchen events, 3D Printing / Design, Talks or community discussions",,Only for special events / workshops,Location and atmosphere ,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Paying for individual classes or workshops,Evening and weekend hours,,,
2/11/2026 16:03:05,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",1-3 years,"Coffee shops / breweries, Library, Parks / trails / outdoors, Outside of Golden, I don't really have a place to go for this","Creative or maker spaces, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people","No, I feel pretty disconnected","Adding more rec sports in the summer for young adults (volleyball at the sand court, cornhole, etc)","Small business development /entrepeneurship, Woodworking / Metalworking, Ceramics, Painting / Drawing / Printmaking, Outdoor skills or environmental workshops","Outdoor skills, Small business development /entrepeneurship, Cooking classes or shared kitchen events",A few times a month,"atmosphere, pricing",Very Likely,Very Likely,Very Likely,Very Likely,Not Likely,Not Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events, Donating tools, supplies, or equipment","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment",NA,"The library in Basalt, CO, is stunning and the mix of nature with huge natural light is what makes it stunning to work and gather. Tall ceilings, lots of natural light, indoor/outdoor",
2/11/2026 16:22:20,50-64,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",4-10 years,"Coffee shops / breweries, Parks / trails / outdoors, Outside of Golden","Creative or maker spaces, Opportunities to learn practical skills",Somewhat,,"Small business development /entrepeneurship, Cooking classes or shared kitchen events, Woodworking / Metalworking, Ceramics",Forging and casting in metalworking. Some interest in cooking classes.,A few times a year,Classes and experts to advise on project design and execution. Social events for specific interests.,Very Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Teaching or helping lead activities","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment, walkable from central Golden, Parking availability if hauling project supplies.","Woodworking, woodturning, engineering.","I would like a makerspace that is complimentary with Clear Creek Makerspace, as in having different capabilities. It needs a cadre of facilitators or leaders who are regularly there to keep things working and provide a community core. I don't know much about physical layout. There is a tradeoff between openness and being able to separate noisy or dusty operations. It might be interesting to have some kind of relationships between a makerspace, the Foothills Art Center, and Miner's Playhouse. ",
2/11/2026 16:33:03,50-64,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",4-10 years,"Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios, Home, Outside of Golden","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people",Not really,,"Small business development /entrepeneurship, Cooking classes or shared kitchen events, Clubs (book, film, language, etc.), Study or work space, Woodworking / Metalworking, Electronics / Robots, 3D Printing / Design, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","talks/discussions, outdoor skills, learning opportunities",Weekly,"open space, cool environment, welcoming hosts, various ages",Very Likely,Very Likely,Very Likely,Somewhat Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Donating tools, supplies, or equipment","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment, Close to transit or bike routes",photography,,
2/11/2026 21:16:59,24-34,Working Full-Time,North Golden (North of 58),4-10 years,"Home, I don't really have a place to go for this","Creative or maker spaces, Opportunities to learn practical skills","No, I feel pretty disconnected",,"Woodworking / Metalworking, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking","woodworking, ceramics",Daily,,Very Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Donating tools, supplies, or equipment","Evening and weekend hours, Being able to drop in without committment","3D Printing, technology, computer programming ",,
2/11/2026 21:44:16,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",4-10 years,"Gym / fitness studio, Coffee shops / breweries, Library, Parks / trails / outdoors, Home","Creative or maker spaces, Affordable activities and classes, Opportunities to learn practical skills, Ways to meet new people",Somewhat,,"Small business development /entrepeneurship, Cooking classes or shared kitchen events, Study or work space, 3D Printing / Design, Sewing, Mending, or Fiber Arts","Cooking classes, mending ",Weekly,Pricing ,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,"Paying for individual classes or workshops, Teaching or helping lead activities","Low-Cost or sliding scale plan, Evening and weekend hours",Cooking ,,
2/11/2026 22:51:42,24-34,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,"Gym / fitness studio, Golden Community Center, Coffee shops / breweries, Library, Parks / trails / outdoors, Private classes or studios, Home, Outside of Golden","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people",Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), 3D Printing / Design, Ceramics",,A few times a month,,Very Likely,Somewhat Likely,Very Likely,Somewhat Likely,Not Likely,Somewhat Likely,"Volunteering ocassionally, Helping with events","Evening and weekend hours, Being able to drop in without committment",,,
2/12/2026 7:09:28,50-64,Working Full-Time,I live outside Golden but spend time here,10+ years,"Gym / fitness studio, Coffee shops / breweries, Library, Parks / trails / outdoors, Home, Outside of Golden","Creative or maker spaces, Community gathering spaces that aren't bars, Opportunities to learn practical skills",Not really,Lack of public gathering spaces,"Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Clubs (book, film, language, etc.), Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Outdoor skills or environmental workshops","teens, arts, environmental",Not sure,"Atmosphere, cost",Somewhat Likely,Very Likely,Very Likely,Not Likely,Very Likely,Very Likely,"Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events",Being able to drop in without committment,,"Welcoming, inclusive, accessible",
2/12/2026 7:57:27,35-49,Working Full-Time,"South Golden (South of 24th Street, including West Pleasant View)",4-10 years,"Gym / fitness studio, Coffee shops / breweries, Home, I don't really have a place to go for this","Creative or maker spaces, Affordable activities and classes, Opportunities to learn practical skills",Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Woodworking / Metalworking, Electronics / Robots, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","painting/drawing/printmaking, cooking classes, woodworking/metalworking",A few times a month,"inexpensive, programming, location",Very Likely,Somewhat Likely,Very Likely,Somewhat Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events","Evening and weekend hours, Being able to drop in without committment",,space for classes as well as open workshop space,
2/12/2026 11:07:31,35-49,Working Part-Time,I live outside Golden but spend time here,4-10 years,"Golden Community Center, Library, Private classes or studios","Creative or maker spaces, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people",Somewhat,Not a lot of spaces that encourage talking to other people (even the bars are cliquey until it's late) without having to spend a lot of money. ,"Small business development /entrepeneurship, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Study or work space, Woodworking / Metalworking, Talks or community discussions, Outdoor skills or environmental workshops","Outdoor skills (can meet people to go do things outside with), clubs, repair clinics",A few times a month,"Low- or no-cost activities, clean and friendly atmosphere, all ages",Very Likely,Very Likely,Somewhat Likely,Not Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Donating tools, supplies, or equipment","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment",,,
